name,concatenated,topic,region,number,requesting organization,organization_name
MapSwipe roads in Zimbabwe for MSF 1 #mapuj,MapSwipe roads - Zimbabwe (1) MSF,MapSwipe roads,Zimbabwe,1,MSF,
Map Chad for MSF (part 1),Map - Chad (1) MSF,Map,Chad,1,MSF,
Disease elimination on Bijagos islands 6,Disease elimination - Bijagos islands (6) MapSwipe,Disease elimination,Bijagos islands,6,MapSwipe,
Eliminate Malaria: Laos 2,Eliminate Malaria - Laos (2) MapSwipe,Eliminate Malaria,Laos,2,MapSwipe,
MapSwipe Madagascar 11,MapSwipe - Madagascar (11) MapSwipe,MapSwipe,Madagascar,11,MapSwipe,
Missing Maps Malawi 2,Missing Maps - Malawi (2) MapSwipe,Missing Maps,Malawi,2,MapSwipe,
MapSwipe Madagascar 7,MapSwipe - Madagascar (7) MapSwipe,MapSwipe,Madagascar,7,MapSwipe,
"Niger State, Nigeria (part 9)","MapSwipe - Niger State, Nigeria (9) MapSwipe",MapSwipe,"Niger State, Nigeria",9,MapSwipe,
Map South Sudan for MSF (part 3),Map - South Sudan (3) MSF,Map,South Sudan,3,MSF,
"Niger State, Nigeria (part 2)","MapSwipe - Niger State, Nigeria (2) MapSwipe",MapSwipe,"Niger State, Nigeria",2,MapSwipe,
"Niger State, Nigeria (part 7)","MapSwipe - Niger State, Nigeria (7) MapSwipe",MapSwipe,"Niger State, Nigeria",7,MapSwipe,
Missing Maps Malawi,Missing Maps - Malawi (9) MapSwipe,Missing Maps,Malawi,9,MapSwipe,
Botswana Malaria Control 2,Malaria Control - Botswana (2) MapSwipe,Malaria Control,Botswana,2,MapSwipe,
MapSwipe Madagascar 3,MapSwipe - Madagascar (3) MapSwipe,MapSwipe,Madagascar,3,MapSwipe,
Eliminate Malaria: Cambodia 2,Eliminate Malaria - Cambodia (2) MapSwipe,Eliminate Malaria,Cambodia,2,MapSwipe,
MapSwipe Nigeria for MSF 3,MapSwipe - Nigeria (3) MSF,MapSwipe,Nigeria,3,MSF,
MapSwipe Madagascar 4,MapSwipe - Madagascar (4) MapSwipe,MapSwipe,Madagascar,4,MapSwipe,
Eliminate Malaria: Laos,Eliminate Malaria - Laos (1) MapSwipe,Eliminate Malaria,Laos,1,MapSwipe,
MapSwipe Madagascar 13,MapSwipe - Madagascar (13) MapSwipe,MapSwipe,Madagascar,13,MapSwipe,
Botswana Malaria Control 3,Malaria Control - Botswana (3) MapSwipe,Malaria Control,Botswana,3,MapSwipe,
Map Sierra Leone for MSF 4,Map - Sierra Leone (4) MSF,Map,Sierra Leone,4,MSF,
MapSwipe Nigeria for MSF 4,MapSwipe - Nigeria (4) MSF,MapSwipe,Nigeria,4,MSF,
"Prevent FGM: Singida, Tanzania 2","Prevent FGM - Singida, Tanzania (2) MapSwipe",Prevent FGM,"Singida, Tanzania",2,MapSwipe,
"Prevent FGM: Kulimi, Tanzania","Prevent FGM - Kulimi, Tanzania (1) MapSwipe",Prevent FGM,"Kulimi, Tanzania",1,MapSwipe,
Map Philippines 8,Map - Philippines (8) MapSwipe,Map,Philippines,8,MapSwipe,
Sur Colombia,Sur - Colombia (1) MapSwipe,Sur,Colombia,1,MapSwipe,
MapSwipe roads in Zimbabwe for MSF 2 #mapuj,MapSwipe roads #mapuj - Zimbabwe (2) MSF,MapSwipe roads #mapuj,Zimbabwe,2,MSF,
Eliminate Malaria: Angola 3,Eliminate Malaria - Angola (3) MapSwipe,Eliminate Malaria,Angola,3,MapSwipe,
Disease elimination on Bijagos islands 2,Disease elimination - Bijagos islands (2) MapSwipe,Disease elimination,Bijagos islands,2,MapSwipe,
Eliminate Malaria: Cambodia 3,Eliminate Malaria - Cambodia (3) MapSwipe,Eliminate Malaria,Cambodia,3,MapSwipe,
MapSwipe roads in Zimbabwe for MSF 3 #mapuj,MapSwipe roads #mapuj - Zimbabwe (3) MSF,MapSwipe roads #mapuj,Zimbabwe,3,MSF,
Measles vaccination 1,"Measles vaccination - Am Timan, Chad (1) MapSwipe",Measles vaccination,"Am Timan, Chad",1,MapSwipe,
Help MSF in Mali (2) #Monash,Help #Monash - Mali (2) MSF,Help #Monash,Mali,2,MSF,
Eliminate Malaria: Angola 4,Eliminate Malaria - Angola (4) MapSwipe,Eliminate Malaria,Angola,4,MapSwipe,
Mapping to end FGM – Mwanza Nwest,Mapping to end FGM - Mwanza Nwest (1) MapSwipe,Mapping to end FGM,Mwanza Nwest,1,MapSwipe,
